id,fullname,price
1,BTC-比特币,24602.6
2,XRP-瑞波币,2.0574
3,ETH-以太坊,815.9
4,BCH-比特现金,841.04
5,EOS-柚子,18.5071
6,USDT-泰达币,6.7234
7,LTC-莱特币,296.47
8,XLM-恒星币,0.5304
9,TRX-波场,0.1722
10,BSV-比特币SV,439.66
11,ADA-艾达币,0.2816
12,BNB-币安币,64.0271
13,MIOTA-埃欧塔,1.8599
14,XMR-门罗币,320.8
15,DASH-达世币,509.94
16,NEO-小蚁,52.6002
17,XEM-新经币,0.2614
18,ETC-以太经典,27.6135
19,ONT-本体,3.8663
20,MKR-Maker,3171.83
21,HT-火币积分,6.8766
22,ZEC-大零币,328.95
23,WAVES-波币,18.3695
24,VET-唯链,0.026745
25,DOGE-狗狗币,0.01266
26,BTG-比特黄金,66.3256
27,OKB-OK币,4.2722
28,QTUM-量子链,13.0307
29,OMG-嫩模币,7.6986
30,ZRX-0x协议,1.6781
31,LINK-ChainLink,3.0416
32,ZIL-Zilliqa,0.115
33,TUSD-True USD,6.865
34,REP-Augur,91.1033
35,DCR-Decred,103.09
36,LSK-应用链,7.7879
37,NANO-纳诺,5.5002
38,XUC-雪币,13.7969
39,BAT-注意力币,0.8377
40,BCD-比特币钻石,4.9152
41,BCN-字节币,0.004186
42,R-Revain,1.2306
43,STEEM-斯蒂姆币,1.9989
44,ICX-ICON,1.4717
45,DGB-极特币,0.061717
46,BTS-比特股,0.2648
47,SC-云储币,0.015282
48,XVG-Verge,0.040768
49,AE-阿姨币,2.6091
50,STRAT-Stratis,5.3987
51,BRC-贝尔链,3.3344
52,GUSD-双子星美元,6.897
53,BTM-比原链,0.5282
54,KMD-科莫多币,4.4166
55,SNT-Status,0.1253
56,PPT-Populous,8.6297
57,GNT-Golem,0.422
58,DAI-DAI,6.7826
59,ODE-ODEM,1.5262
60,ETN-Electroneum,0.048062
61,LRC-路印协议,0.3651
62,FCT-公证通,41.8899
63,IOST-Internet of Services,0.043928
64,MAID-互联网币,0.8315
65,ARDR-阿朵币,0.3623
66,POLY-Polymath Network,0.6425
67,HC-HyperCash,7.982
68,WTC-沃尔顿链,6.8827
69,PIVX-普维币,4.9431
70,ARK-Ark,3.5455
71,MANA-Decentraland,0.2316
72,DCN-Dentacoin,0.00049417
73,RDD-蜗牛币,0.008077
74,DGD-黄金代币,112.93
75,POWR-Power Ledger,0.5698
76,AION-Aion,0.8131
77,KCS-Kucoin Shares,2.4354
78,RVN-Ravencoin,0.074596
79,MCO-MCO Token,14.3124
80,MONA-萌奈币,3.3262
81,BNT-Bancor,3.5333
82,XZC-小零币,33.9998
83,GXC-公信宝,3.9555
84,PAY-TenX,1.6243
85,ELA-亦来云,15.1835
86,ELF-ælf,0.7035
87,ETP-元界,3.9072
88,VERI-Veritaseum,123.15
89,LOOM-Loom Network,0.2817
90,ENJ-恩金币,0.2161
91,AGI-SingularityNET,0.3027
92,QASH-QASH,0.4708
93,QKC-QuarkChain,0.2099
94,WICC-维基币,0.8356
95,ZEN-Horizen,30.5782
96,NXT-未来币,0.1652
97,SYS-系统币,0.2835
98,NAS-星云币,3.711
99,PART-Particl,16.4012
100,MGO-MobileGo,1.5317
101,ENG-Enigma,2.0615
102,CENNZ-Centrality,0.246
103,CREDO-Credo,0.2976
104,EDO-Eidoo,4.7381
105,NXS-Nexus,2.0247
106,GBYTE-字节雪球,210.49
107,FUN-FunFair,0.026139
108,KIN-Kin,0.00018313
109,GAS-Gas,13.7778
110,TEL-Telcoin,0.002004
111,SAN-Santiment Network Token,3.0715
112,NULS-NULS,2.7221
113,CMT-草莓糖,0.1764
